sheet_row,title,eshop_url,status
54,Hyrule Warriors: Age of Calamity,https://www.nintendo.com/us/store/products/hyrule-warriors-age-of-calamity-switch/,verified
55,Hyrule Warriors: Age of Imprisonment,https://www.nintendo.com/us/store/products/hyrule-warriors-age-of-imprisonment-switch-2/,"verified — DIFFERS from formula, paste this into F"
56,INAZUMA ELEVEN: Victory Road,https://www.nintendo.com/us/store/products/inazuma-eleven-victory-road-switch/,verified
57,INAZUMA ELEVEN: Victory Road Nintendo Switch 2 Edition,https://www.nintendo.com/us/store/products/inazuma-eleven-victory-road-nintendo-switch-2-edition-switch-2/,verified
58,Indiana Jones and the Great Circle,https://www.nintendo.com/us/store/products/indiana-jones-and-the-great-circle-switch-2/,"verified — DIFFERS from formula, paste this into F"
59,Indiana Jones and the Great Circle: The Order of Giants (DLC),https://www.nintendo.com/us/store/products/indiana-jones-and-the-great-circle-the-order-of-giants-dlc-switch/,NOT FOUND — check manually
60,inKONBINI: One Store. Many Stories,https://www.nintendo.com/us/store/products/inkonbini-one-store-many-stories-switch/,verified
61,Is This Seat Taken?,https://www.nintendo.com/us/store/products/is-this-seat-taken-switch/,verified
62,Just Dance 2026 Edition,https://www.nintendo.com/us/store/products/just-dance-2026-edition-switch/,verified
63,Kena: Bridge of Spirits,https://www.nintendo.com/us/store/products/kena-bridge-of-spirits-switch-2/,"verified — DIFFERS from formula, paste this into F"
64,Kirby and the Forgotten Land,https://www.nintendo.com/us/store/products/kirby-and-the-forgotten-land-switch/,verified
65,Kunitsu-Gami: Path of the Goddess,https://www.nintendo.com/us/store/products/kunitsu-gami-path-of-the-goddess-switch-2/,"verified — DIFFERS from formula, paste this into F"
66,LEGO Marvel Super Heroes 2,https://www.nintendo.com/us/store/products/lego-marvel-super-heroes-2-switch/,verified
67,LEGO Party!,https://www.nintendo.com/us/store/products/lego-party-switch/,verified
68,LEGO® DC Super-Villains,https://www.nintendo.com/us/store/products/lego-dc-super-villains-switch/,verified
69,Lovers in a Dangerous Spacetime,https://www.nintendo.com/us/store/products/lovers-in-a-dangerous-spacetime-switch/,verified
70,Luigi's Mansion 2 HD,https://www.nintendo.com/us/store/products/luigis-mansion-2-hd-switch/,verified
71,Luigi’s Mansion 3,https://www.nintendo.com/us/store/products/luigis-mansion-3-switch/,verified
72,Luigi's Mansion 3: Multiplayer Pack (DLC),https://www.nintendo.com/us/store/products/luigis-mansion-3-multiplayer-pack-dlc-switch/,NOT FOUND — check manually
73,LumenTale: Memories of Trey,https://www.nintendo.com/us/store/products/lumentale-memories-of-trey-switch/,verified
74,Mario Golf: Super Rush,https://www.nintendo.com/us/store/products/mario-golf-super-rush-switch/,verified
75,Mario Party Superstars,https://www.nintendo.com/us/store/products/mario-party-superstars-switch/,verified
76,Metroid Dread,https://www.nintendo.com/us/store/products/metroid-dread-switch/,verified
77,Mina the Hollower,https://www.nintendo.com/us/store/products/mina-the-hollower-switch/,verified
78,Minami Lane,https://www.nintendo.com/us/store/products/minami-lane-switch/,verified
79,Minecraft,https://www.nintendo.com/us/store/products/minecraft-switch/,verified
80,Minecraft Dungeons,https://www.nintendo.com/us/store/products/minecraft-dungeons-switch/,verified
81,Minecraft Legends,https://www.nintendo.com/us/store/products/minecraft-legends-switch/,verified
82,Moving Out,https://www.nintendo.com/us/store/products/moving-out-switch/,verified
83,Moving Out 2,https://www.nintendo.com/us/store/products/moving-out-2-switch/,verified
84,NBA 2K26,https://www.nintendo.com/us/store/products/nba-2k26-switch/,verified
85,NBA 2K26 (Switch 2 Edition),https://www.nintendo.com/us/store/products/nba-2k26-switch-2/,verified
86,Need for Speed Hot Pursuit Remastered,https://www.nintendo.com/us/store/products/need-for-speed-hot-pursuit-remastered-switch/,verified
87,New Super Mario Bros. U Deluxe,https://www.nintendo.com/us/store/products/new-super-mario-bros-u-deluxe-switch/,verified
88,OCTOPATH TRAVELER,https://www.nintendo.com/us/store/products/octopath-traveler-switch/,verified
89,OCTOPATH TRAVELER 0,https://www.nintendo.com/us/store/products/octopath-traveler-0-switch-2/,"verified — DIFFERS from formula, paste this into F"
90,OCTOPATH TRAVELER II,https://www.nintendo.com/us/store/products/octopath-traveler-ii-switch/,verified
91,Outer Wilds,https://www.nintendo.com/us/store/products/outer-wilds-switch/,verified
92,Paper Mario: The Origami King,https://www.nintendo.com/us/store/products/paper-mario-the-origami-king-switch/,verified
93,Paper Mario: The Thousand-Year Door,https://www.nintendo.com/us/store/products/paper-mario-the-thousand-year-door-switch/,verified
94,Persona 3 Reload,https://www.nintendo.com/us/store/products/persona-3-reload-switch-2/,"verified — DIFFERS from formula, paste this into F"
95,Persona 3 Reload - Premium DLC Pack (DLC),https://www.nintendo.com/us/store/products/persona-3-reload-premium-dlc-pack-dlc-switch/,NOT FOUND — check manually
96,Persona 3 Reload Episode Aigis -The Answer- Pack (DLC),https://www.nintendo.com/us/store/products/persona-3-reload-episode-aigis-the-answer-pack-dlc-switch/,NOT FOUND — check manually
97,PICO PARK,https://www.nintendo.com/us/store/products/pico-park-switch/,verified
98,PICO PARK 2,https://www.nintendo.com/us/store/products/pico-park-2-switch/,verified
99,Plants vs. Zombies: Replanted,https://www.nintendo.com/us/store/products/plants-vs-zombies-replanted-switch/,verified
100,PlateUp!,https://www.nintendo.com/us/store/products/plateup-switch/,verified
101,Pokémon Mystery Dungeon: Rescue Team DX,https://www.nintendo.com/us/store/products/pokemon-mystery-dungeon-rescue-team-dx-switch/,verified
102,PowerWash Simulator,https://www.nintendo.com/us/store/products/powerwash-simulator-switch/,verified
103,PowerWash Simulator 2,https://www.nintendo.com/us/store/products/powerwash-simulator-2-switch-2/,"verified — DIFFERS from formula, paste this into F"
104,PRAGMATA,https://www.nintendo.com/us/store/products/pragmata-switch-2/,"verified — DIFFERS from formula, paste this into F"
105,Rabbids: Party of Legends,https://www.nintendo.com/us/store/products/rabbids-party-of-legends-switch/,verified
106,Shin chan: Me and the Professor on Summer Vacation The Endless Seven Day Journey,https://www.nintendo.com/us/store/products/shin-chan-me-and-the-professor-on-summer-vacation-the-endless-seven-day-journey-switch/,verified
107,Shin chan: Shiro and the Coal Town,https://www.nintendo.com/us/store/products/shin-chan-shiro-and-the-coal-town-switch/,verified
108,Slay the Spire,https://www.nintendo.com/us/store/products/slay-the-spire-switch/,verified
